county,event_date,n,cum_cases
Aurora,3/13/2020,1,1
Beadle,3/5/2020,1,1
Beadle,3/13/2020,3,4
Beadle,3/14/2020,1,5
Beadle,3/16/2020,3,8
Beadle,3/17/2020,1,9
Beadle,3/18/2020,2,11
Beadle,3/19/2020,3,14
Beadle,3/22/2020,1,15
Beadle,3/23/2020,1,16
Beadle,3/24/2020,1,17
Beadle,3/25/2020,3,20
Beadle,3/27/2020,1,21
Bon Homme,3/9/2020,1,1
Bon Homme,4/1/2020,2,3
Bon Homme,4/2/2020,1,4
Brookings,3/1/2020,1,1
Brookings,3/9/2020,1,2
Brookings,3/16/2020,1,3
Brookings,3/19/2020,1,4
Brookings,3/21/2020,1,5
Brookings,3/28/2020,1,6
Brookings,4/7/2020,1,7
Brookings,4/9/2020,2,9
Brookings,4/18/2020,1,10
Brookings,4/21/2020,2,12
Brookings,4/24/2020,1,13
Brown,3/4/2020,1,1
Brown,3/13/2020,2,3
Brown,3/21/2020,2,5
Brown,3/23/2020,2,7
Brown,3/24/2020,1,8
Brown,3/25/2020,1,9
Brown,3/26/2020,1,10
Brown,3/30/2020,3,13
Brown,4/3/2020,1,14
Brown,4/8/2020,2,16
Brown,4/11/2020,1,17
Brown,4/14/2020,2,19
Brown,4/15/2020,3,22
Brown,4/16/2020,3,25
Brown,4/17/2020,1,26
Brown,4/18/2020,5,31
Brown,4/20/2020,1,32
Brown,4/21/2020,1,33
Brown,4/22/2020,1,34
Brown,4/24/2020,1,35
Brown,4/25/2020,3,38
Brown,4/27/2020,5,43
Brown,4/28/2020,1,44
Brown,4/29/2020,1,45
Brown,4/30/2020,6,51
Buffalo,4/22/2020,1,1
Charles Mix,3/8/2020,1,1
Charles Mix,3/27/2020,1,2
Charles Mix,4/2/2020,1,3
Charles Mix,4/9/2020,1,4
Charles Mix,4/23/2020,1,5
Clark,2/26/2020,1,1
Clay,2/22/2020,1,1
Clay,3/7/2020,1,2
Clay,3/12/2020,1,3
Clay,3/30/2020,1,4
Clay,4/1/2020,2,6
Codington,3/1/2020,1,1
Codington,3/11/2020,1,2
Codington,3/16/2020,1,3
Codington,3/18/2020,1,4
Codington,3/20/2020,1,5
Codington,3/23/2020,1,6
Codington,3/25/2020,1,7
Codington,3/28/2020,1,8
Codington,3/29/2020,3,11
Codington,3/31/2020,1,12
Codington,4/11/2020,1,13
Codington,4/20/2020,1,14
Corson,4/3/2020,1,1
Davison,3/5/2020,1,1
Davison,3/16/2020,1,2
Davison,3/28/2020,1,3
Davison,4/16/2020,1,4
Davison,4/18/2020,1,5
Davison,4/27/2020,1,6
Day,4/23/2020,1,1
Day,4/25/2020,2,3
Day,4/28/2020,2,5
Day,5/1/2020,3,8
Deuel,3/24/2020,1,1
Dewey,4/28/2020,1,1
Douglas,4/20/2020,1,1
Fall River,2/29/2020,1,1
Faulk,3/8/2020,1,1
Hamlin,3/17/2020,1,1
Hamlin,4/14/2020,1,2
Hand,4/23/2020,1,1
Hughes,3/3/2020,1,1
Hughes,3/6/2020,1,2
Hughes,3/17/2020,1,3
Hughes,3/18/2020,1,4
Hughes,4/6/2020,1,5
Hughes,4/9/2020,1,6
Hughes,4/20/2020,2,8
Hughes,4/23/2020,1,9
Hughes,4/25/2020,1,10
Hughes,4/26/2020,1,11
Hughes,4/27/2020,2,13
Hutchinson,3/20/2020,2,2
Hutchinson,4/22/2020,1,3
Hyde,4/6/2020,1,1
Jerauld,3/30/2020,1,1
Jerauld,4/3/2020,1,2
Jerauld,4/6/2020,1,3
Jerauld,4/10/2020,1,4
Jerauld,4/13/2020,1,5
Jerauld,4/22/2020,1,6
Lake,3/25/2020,1,1
Lake,4/3/2020,1,2
Lake,4/11/2020,1,3
Lake,4/17/2020,1,4
Lawrence,3/9/2020,1,1
Lawrence,3/13/2020,1,2
Lawrence,3/18/2020,1,3
Lawrence,3/19/2020,1,4
Lawrence,3/20/2020,2,6
Lawrence,3/22/2020,1,7
Lawrence,3/24/2020,1,8
Lawrence,3/26/2020,1,9
Lincoln,3/13/2020,1,1
Lincoln,3/15/2020,1,2
Lincoln,3/16/2020,2,4
Lincoln,3/17/2020,3,7
Lincoln,3/18/2020,1,8
Lincoln,3/22/2020,2,10
Lincoln,3/23/2020,3,13
Lincoln,3/25/2020,1,14
Lincoln,3/26/2020,1,15
Lincoln,3/27/2020,1,16
Lincoln,3/28/2020,2,18
Lincoln,3/30/2020,2,20
Lincoln,3/31/2020,5,25
Lincoln,4/1/2020,3,28
Lincoln,4/2/2020,2,30
Lincoln,4/3/2020,3,33
Lincoln,4/4/2020,5,38
Lincoln,4/5/2020,3,41
Lincoln,4/6/2020,7,48
Lincoln,4/7/2020,1,49
Lincoln,4/8/2020,6,55
Lincoln,4/9/2020,6,61
Lincoln,4/10/2020,6,67
Lincoln,4/11/2020,4,71
Lincoln,4/12/2020,8,79
Lincoln,4/13/2020,10,89
Lincoln,4/14/2020,3,92
Lincoln,4/15/2020,8,100
Lincoln,4/16/2020,3,103
Lincoln,4/17/2020,6,109
Lincoln,4/18/2020,7,116
Lincoln,4/19/2020,5,121
Lincoln,4/20/2020,4,125
Lincoln,4/21/2020,5,130
Lincoln,4/22/2020,3,133
Lincoln,4/23/2020,2,135
Lincoln,4/24/2020,5,140
Lincoln,4/25/2020,3,143
Lincoln,4/26/2020,2,145
Lincoln,4/27/2020,5,150
Lincoln,4/28/2020,2,152
Lincoln,4/29/2020,2,154
Lincoln,4/30/2020,2,156
Lyman,3/13/2020,1,1
Lyman,3/31/2020,1,2
Lyman,4/28/2020,1,3
Marshall,3/15/2020,1,1
McCook,3/10/2020,1,1
McCook,3/11/2020,1,2
McCook,4/10/2020,1,3
McCook,4/16/2020,1,4
McPherson,4/13/2020,1,1
Meade,3/18/2020,1,1
Miner,4/7/2020,1,1
Minnehaha,2/24/2020,1,1
Minnehaha,3/6/2020,1,2
Minnehaha,3/7/2020,1,3
Minnehaha,3/10/2020,1,4
Minnehaha,3/12/2020,2,6
Minnehaha,3/13/2020,1,7
Minnehaha,3/14/2020,2,9
Minnehaha,3/15/2020,1,10
Minnehaha,3/16/2020,3,13
Minnehaha,3/17/2020,1,14
Minnehaha,3/18/2020,5,19
Minnehaha,3/19/2020,4,23
Minnehaha,3/20/2020,8,31
Minnehaha,3/21/2020,4,35
Minnehaha,3/22/2020,2,37
Minnehaha,3/23/2020,9,46
Minnehaha,3/24/2020,3,49
Minnehaha,3/25/2020,13,62
Minnehaha,3/26/2020,11,73
Minnehaha,3/27/2020,18,91
Minnehaha,3/28/2020,10,101
Minnehaha,3/29/2020,18,119
Minnehaha,3/30/2020,30,149
Minnehaha,3/31/2020,35,184
Minnehaha,4/1/2020,46,230
Minnehaha,4/2/2020,36,266
Minnehaha,4/3/2020,66,332
Minnehaha,4/4/2020,76,408
Minnehaha,4/5/2020,63,471
Minnehaha,4/6/2020,135,606
Minnehaha,4/7/2020,96,702
Minnehaha,4/8/2020,99,801
Minnehaha,4/9/2020,109,910
Minnehaha,4/10/2020,138,1048
Minnehaha,4/11/2020,93,1141
Minnehaha,4/12/2020,69,1210
Minnehaha,4/13/2020,69,1279
Minnehaha,4/14/2020,72,1351
Minnehaha,4/15/2020,96,1447
Minnehaha,4/16/2020,99,1546
Minnehaha,4/17/2020,71,1617
Minnehaha,4/18/2020,46,1663
Minnehaha,4/19/2020,50,1713
Minnehaha,4/20/2020,61,1774
Minnehaha,4/21/2020,57,1831
Minnehaha,4/22/2020,36,1867
Minnehaha,4/23/2020,46,1913
Minnehaha,4/24/2020,43,1956
Minnehaha,4/25/2020,38,1994
Minnehaha,4/26/2020,34,2028
Minnehaha,4/27/2020,37,2065
Minnehaha,4/28/2020,18,2083
Minnehaha,4/29/2020,20,2103
Minnehaha,4/30/2020,14,2117
Minnehaha,5/1/2020,5,2122
Moody,4/5/2020,1,1
Moody,4/12/2020,1,2
Moody,4/13/2020,1,3
Moody,4/21/2020,1,4
Moody,4/24/2020,1,5
Oglala Lakota,3/27/2020,1,1
Pennington,3/8/2020,1,1
Pennington,3/16/2020,1,2
Pennington,3/17/2020,1,3
Pennington,3/19/2020,1,4
Pennington,3/24/2020,1,5
Pennington,3/25/2020,1,6
Pennington,3/28/2020,1,7
Pennington,4/3/2020,1,8
Pennington,4/4/2020,2,10
Pennington,4/10/2020,1,11
Pennington,4/19/2020,1,12
Pennington,4/24/2020,1,13
Roberts,2/28/2020,1,1
Roberts,3/13/2020,1,2
Roberts,3/26/2020,1,3
Roberts,3/29/2020,1,4
Roberts,4/1/2020,1,5
Roberts,4/27/2020,2,7
Roberts,4/30/2020,2,9
Sanborn,4/3/2020,1,1
Sanborn,4/4/2020,1,2
Sanborn,4/9/2020,1,3
Spink,3/24/2020,1,1
Spink,3/28/2020,1,2
Spink,3/30/2020,1,3
Stanley,4/17/2020,1,1
Stanley,4/19/2020,1,2
Stanley,4/20/2020,1,3
Stanley,4/22/2020,1,4
Stanley,4/23/2020,1,5
Stanley,4/25/2020,1,6
Stanley,4/26/2020,1,7
Stanley,4/27/2020,1,8
Sully,3/21/2020,1,1
Todd,3/14/2020,1,1
Todd,4/28/2020,1,2
Todd,4/29/2020,1,3
Turner,3/9/2020,1,1
Turner,3/15/2020,1,2
Turner,3/18/2020,1,3
Turner,3/23/2020,1,4
Turner,3/25/2020,1,5
Turner,4/13/2020,2,7
Turner,4/16/2020,3,10
Turner,4/17/2020,1,11
Turner,4/18/2020,1,12
Turner,4/20/2020,2,14
Turner,4/21/2020,1,15
Turner,4/22/2020,1,16
Turner,4/25/2020,1,17
Union,3/10/2020,1,1
Union,3/25/2020,1,2
Union,3/27/2020,1,3
Union,4/7/2020,1,4
Union,4/12/2020,2,6
Union,4/16/2020,1,7
Union,4/17/2020,1,8
Union,4/18/2020,2,10
Union,4/19/2020,2,12
Union,4/20/2020,1,13
Union,4/21/2020,2,15
Union,4/22/2020,2,17
Union,4/23/2020,2,19
Union,4/24/2020,2,21
Union,4/25/2020,1,22
Union,4/26/2020,1,23
Union,4/27/2020,1,24
Union,4/28/2020,3,27
Union,5/4/2020,,32
Union,5/5/2020,,46
Walworth,3/13/2020,1,1
Walworth,3/20/2020,1,2
Walworth,3/22/2020,2,4
Walworth,4/2/2020,1,5
Yankton,3/14/2020,2,2
Yankton,3/16/2020,1,3
Yankton,3/18/2020,1,4
Yankton,3/20/2020,1,5
Yankton,3/22/2020,1,6
Yankton,3/23/2020,1,7
Yankton,3/26/2020,3,10
Yankton,3/27/2020,1,11
Yankton,3/28/2020,1,12
Yankton,3/30/2020,2,14
Yankton,3/31/2020,1,15
Yankton,4/1/2020,2,17
Yankton,4/2/2020,1,18
Yankton,4/4/2020,1,19
Yankton,4/6/2020,1,20
Yankton,4/9/2020,1,21
Yankton,4/11/2020,1,22
Yankton,4/19/2020,2,24
Yankton,4/21/2020,1,25
Yankton,4/23/2020,1,26
Yankton,4/28/2020,1,27
